,,Txn Hash,Method,Block,Age,From,,To,Value,Txn Fee
15,,0xd461f919a9af2e5f7ad45c6d6f160f84ed1b9105c7f231afb386939737826fab,Execute,19345687,27 secs ago,0xF1620717...2B34F91F4,,Uniswap: Universal Router,0.15 ETH,0.00510611
16,,0x02a0f3c381640151ed4070acd631d32407939897333ab3dd56741c0dea3e586f,Sell To Uniswap,19345687,27 secs ago,0x2A583441...C0296A22D,,0x: Exchange Proxy,0.007258611 ETH,0.00541323
17,,0xfeddaedd2f20d25543440f566fc1e7cb5c1a67ffc98a65c73f9d4268579591ce,Sell To Uniswap,19345687,27 secs ago,0x6Fd1b268...e6543642c,,0x: Exchange Proxy,0.030533024 ETH,0.00461275
18,,0x0d387678947bc3577e72ae398abf6549b6c4373c40e8d920f7fc416dccef0e0a,Transfer*,19345687,27 secs ago,0x382A3a34...418898E8E,,0xf70da978...8dfA3dbEF,0.000951567 ETH,0.00093551
19,,0x2577c2a90f660bc497616a7ec840d70e14ea26db74a6a91ebd5cb6db13eb0953,Sell Eth For Tok...,19345687,27 secs ago,0xA54142Fe...66BAa94Bc,,0x: Exchange Proxy,0.435516675 ETH,0.00571245
20,,0xbd07452626c5701e7647c1b65a6f22bebd19250c7f3df71ba731a4faa461cd17,0x415565b0,19345687,27 secs ago,0x5c341591...ECcddC659,,0x: Exchange Proxy,0 ETH,0.01692281
21,,0x6728c97dafa53bcb70b482d1172b835c5a93cb75a0e1a32141ea9311a618bdb4,Approve,19345687,27 secs ago,0x5c341591...ECcddC659,,Bonk: Bonk Token,0 ETH,0.00274959
22,,0xf49f170ce488459ecfb67a6286e3c6549dca8b410799bc94361699653d5df1dd,Transfer,19345687,27 secs ago,0x27Df9aF7...054D8B82c,,0xDFEdEC8D...56936A4AA,0.1 ETH,0.00093337
23,,0xa5529eb12fe22b8296a56ee1775838f9af7fce09362091fd788da62b7663be66,Sell Token For E...,19345687,27 secs ago,0x77d80de5...709c48F1b,,0x: Exchange Proxy,0 ETH,0.00575027
24,,0x44d8b47382bd5184a97e5c5b58f02bae84d549fe40b7b5890b456130762eabba,Approve,19345687,27 secs ago,0xDd0Bb879...8c6Ce6652,,Dogelon: ELON Token,0 ETH,0.00206601
25,,0xb904e85cc5c6c244a1dbd77e9e7357ba6aee1bd9fd76b448e7ebfa988fca78a5,0x00000195,19345687,27 secs ago,0x7E095cA1...8008fbFF2,,Socket: Gateway,0.263619516 ETH,0.00311415
26,,0x21a769a190c1bf4e52e7ba05b2761654b06df78faf0876a46ed53fc892984d66,Transfer,19345687,27 secs ago,0x381E1F93...36800E3Eb,,0x9fB52944...757bf2642,0.003954463 ETH,0.00093337
27,,0xed71f10a0017613ab624673d6a9a357678dd77acc52eb04474ca8b4b62b2d47c,Exec Transaction,19345687,27 secs ago,0xB9C8AC33...3255affca,,0x0B1Af81a...679fE563E,0 ETH,0.00406224
28,,0x74d39ab9e20d633eec2d3f0f6e7b7b05351ef2327188fe4ae398e8e95a28dae3,0x415565b0,19345687,27 secs ago,0xB49A24F3...c71511d8b,,0x: Exchange Proxy,0 ETH,0.01079967
29,,0x98d3835a55f676659e4db2023428993d607a54dbd299a958515ae0e5aa154f5e,Approve,19345687,27 secs ago,0xB49A24F3...c71511d8b,,ShibaSwap: BONE Token,0 ETH,0.00206809
30,,0x0b2c980213421b7d121b5f348e2cacd7541550d4a39bed784c0bedce6ccf51bc,Call,19345687,27 secs ago,0xaeb94d23...EE2d1c4f2,,0x3c11F626...35f451646,0 ETH,0.02427397
31,,0x3975a21156142b61f1021969728b51511e598d86b6018efb4329d8aa77b2f5d0,Transfer,19345687,27 secs ago,0xBd3aB768...8A4395105,,OraiChain: ORAI Token,0 ETH,0.0020897
32,,0x2392b42a9f6f7d71882b90fbcb7cd0328482a5808717965457e81c95896b6d9f,Execute,19345687,27 secs ago,0x993ABB44...70B962327,,Uniswap: Universal Router,0.149348845 ETH,0.00328375
33,,0xbdbea9a27be2de80242c43a8b72869c0777aa134231b0aa4b2d85ded95d48633,Sell Eth For Tok...,19345687,27 secs ago,0x428FA1C2...6670f9E87,,0x: Exchange Proxy,0.29034445 ETH,0.00553168
34,,0xb20ca528d553a1a394f70fc0f909b50ec11489033522c0da7dcaa4597387913a,Sell To Uniswap,19345687,27 secs ago,0xAd76D5a4...199Fa6431,,0x: Exchange Proxy,0.072586112 ETH,0.00669165
35,,0xdef2f0e7d5aa710d73b90e8d987c981c340ca68e7b3e17f0a26731061fbd8933,Approve,19345687,27 secs ago,0x165A2408...6f67Dc777,,Tether: USDT Stablecoin,0 ETH,0.0021733
36,,0xac153f0eea42c90846d852e6608ffd48fb72e55643ac97f0d5f08502367563e0,Transfer,19345687,27 secs ago,0xA498423A...f10b249Ab,,Polygon (Matic): Old Matic Token,0 ETH,0.00240136
37,,0x1765efda33109ce26c3f3d458f4869ef3ce8310474d4fd982c23996703e5ec41,Transfer,19345687,27 secs ago,0xf3640045...8F7cDdb47,,XEN Crypto: XEN Token,0 ETH,0.0023034
38,,0xaa8945332684bbf40ce7044fa87d084e597d8ca76af9ad2d5b0db02bff97312a,Transfer,19345687,27 secs ago,0xf3B51AdC...12Ec0328E,,0xEcb19DCB...c8b916021,0.019 ETH,0.00093337
39,,0x60dcc6b12873d51a1e631f5ab119bd3c8b4c8f5b148c5fd67afa9a8f42f89142,Transfer,19345687,27 secs ago,Jump Trading,,Circle: USDC Token,0 ETH,0.00276777
40,,0xde7b33e9d68117e3899c5a3589a0ffc54f60408245ce9ced25900786a15ab426,Transfer,19345687,27 secs ago,0x8a6A6EB5...989F6AD76,,0x2f41C078...63997F5A0,0.002903444 ETH,0.00093337
41,,0x53870a08f8a248b64aa3326278d501b7bc5f917642780a23c1e279b561118bcc,Approve,19345687,27 secs ago,0x29B33f8D...EBB3C8af6,,El Hippo: HIPP Token,0 ETH,0.00206965
42,,0x35a567ef8fa431083d63a9bb4cd005958f783687439283cc30d4c0f117a525f6,Execute,19345687,27 secs ago,0x196702a1...2f1E8be79,,Uniswap: Universal Router,0 ETH,0.00639017
43,,0x6af0b6e8ea234b02d05b2728f16e0cfd054ba234399b2fed8b48718b0ae1c74f,Sell To Uniswap,19345687,27 secs ago,0xbCC80C1b...10C4aBb40,,0x: Exchange Proxy,0.002930011 ETH,0.00882393
44,,0xdeb6a591d161bddc09c5211471868a27ba1525881cbbfe2317f63496ab054b89,Approve,19345687,27 secs ago,0xE40928d1...97224334b,,0xcAE6EBAc...38639eF01,0 ETH,0.00120401
45,,0x9ba83701357c6da21bd2732c1dbd97ca0f5c08cd51ef95819c7abb0169fb586b,Cancel,19345687,27 secs ago,0x4B780D01...e668c9298,,Seaport 1.5,0 ETH,0.00258848
46,,0xd5366059152b2a7a0cc9f46c1a4b86279155a50176c814dca665e5448ae140fa,Approve,19345687,27 secs ago,0x3d781eeD...a104a94e2,,0x6D749775...0F7E235df,0 ETH,0.00207147
47,,0x7d2a5c7d2048f94bbd88d3438af5377d224c2a208a8fa048f594c1ed81970709,Transfer,19345687,27 secs ago,0xBFCd86e3...32723d6aD,,Shiba Inu: SHIB Token,0 ETH,0.00154651
48,,0x6d10e67fe302a1d4132c6f30785917c8a3979f9e0cc60cd1b42f39ece7e832d3,Sell Token For T...,19345687,27 secs ago,0x7DF169F5...f477aBF33,,0x: Exchange Proxy,0 ETH,0.00965642
49,,0x286457bf407bd3217a3a39be77d8eb5e278a2d1d1dc34fa69b34ff255b138d43,Execute,19345687,27 secs ago,0xf966736D...53C852497,,Uniswap: Universal Router,0.012031317 ETH,0.00477023
50,,0x182afe99781741b1d8424a338887fff2ff10f540d8bcdf9b40bcb5df65856252,Transfer,19345687,36 secs ago,0xa22E8f6e...940E0C662,,0xCf43BdCC...A2fB90660,0.0028 ETH,0.00093337
51,,0xa6779d39abb2515cc9012ff2438b4e78020a3c9332f57974153793d5ecb7b157,Approve,19345687,36 secs ago,0x7DF169F5...f477aBF33,,PARSIQ: PRQ Token,0 ETH,0.00235909
52,,0x10e26e84d987893d0c37715afc32f849bc8b23373c223ae2b4e667ad86c6257e,0x415565b0,19345687,36 secs ago,0xf00ea6F4...71Fea6a34,,0x: Exchange Proxy,0.090877812 ETH,0.01066829
53,,0xde858f56d29d85ee29cfd9349fa5d3ec8beae1bc23b5aefd60f960c3cabfc00e,Claim,19345687,36 secs ago,0x74fe66d4...cc0BF4b66,,0x7732674B...CA383B5e6,0 ETH,0.00595255
54,,0x915c580782b9143c99575c6de32ebc7efc050a1954e59e1b188da61dd4140dbf,Execute,19345687,36 secs ago,0xE56b9C69...4c86cE273,,Uniswap: Universal Router,0 ETH,0.00965988
55,,0x9c41a44a2bf349242bff71c300183a99b9cb198930fd02b1f490e34baa2847c9,Transfer,19345687,36 secs ago,0x4f1a5a5d...Fe230D17e,,0x517bb391...8498C3698,8.52 ETH,0.00093337
56,,0x4d9d602d4bc26c1adcf0cc9b0b735085b0c5728bd667aae87b1d0f910cf820bd,Transfer*,19345687,36 secs ago,0x7224b305...784F80bcF,,0x38FA9ed7...b5991476B,0.12394412 ETH,0.00093622
57,,0xd9a14f70e0f649e18adec64018bc60436f3ddc35a32f97af9aee4d3c633c235f,Stake,19345687,36 secs ago,0xD9420B8F...58affC5E8,,0x30a4aa1d...cc94A549F,0.005062787 ETH,0.00875166
58,,0x5fd904bc2225c1df03e62abed6e67f02a83c096aabc0dc6f7bb438f2c6a31bef,Sell Eth For Tok...,19345687,36 secs ago,0x7BE546a6...F43dc5b86,,0x: Exchange Proxy,0.046455112 ETH,0.00642831
59,,0x9b34b279691ce6749393b4f789e039e7a350ecae37fffecedf4af65ecb4bf69f,Transfer,19345687,36 secs ago,0x194b69F7...1BAAEBa2B,,Shiba Inu: SHIB Token,0 ETH,0.00193267
60,,0x9fff5be5d90db37c2366bac9c1519eeca85107594104af15dd715b5949ca0c65,Transfer,19345687,36 secs ago,0x51c5EF64...7E916D91a,,0x93F02a60...61e314075,2.069210867 ETH,0.00093337
61,,0xcf0bee1d8ac92971b4bbd7efc03e1d0d149488299de0ce930d95d04adb25cc6c,Sell Eth For Tok...,19345687,36 secs ago,0x5D12863e...6fBDEF8F8,,0x: Exchange Proxy,0.010238663 ETH,0.00601384
62,,0xb79f932acaa64caac508d839b02470bbd2e839ce00d67bb4f0752cfb1ae03d05,Execute,19345687,36 secs ago,0x4d1ec0F1...6ccFD9fCA,,Uniswap: Universal Router,0.138 ETH,0.00112036
63,,0x73b98fb47a1622269ccfe0a40a868adc97ae0632c930a2bd51405b1bef3a0980,Execute,19345687,36 secs ago,0xabF711B4...14b0FA509,,Uniswap: Universal Router,0 ETH,0.01076394
64,,0x3eaaafe82f27a9165b4d715506256bdde20e4e67c8d58ad25845b4247b3c95a9,Transfer,19345687,36 secs ago,0x9eE7E0E7...2BF13Cc6B,,0x3F4DDF74...40b009Aa8,0.19 ETH,0.00093337
65,,0xb4e2f8fb8c0e2f8d38ac11a3a7d58cc34f3803e8cbdfcf1bbabca88982c32e7c,Deposit With Exp...,19345687,36 secs ago,0x93c78Af4...66E0340EA,,THORChain: THORChain Router v4.1.1,0 ETH,0.00331504
66,,0xc885e4be23c62a47f38f3927edb5212cbcfbfcf364be8cb2432e3505ddcb6348,Sell To Uniswap,19345687,36 secs ago,0xb41FA7Fd...d4c9F34AF,,0x: Exchange Proxy,0 ETH,0.00844222
67,,0xb2cb7190ac17b26fdce3488346234398343a821f308c4ccdb8e5096314c842e5,Transfer,19345687,36 secs ago,0x9b070925...d560fDdD0,,Tectum SoftNote: TET Token,0 ETH,0.00132668
68,,0xaca300f4b9693807260327013f35f251efd50c9208b3e1e463ab4a0b4ea7f611,Approve,19345687,36 secs ago,0xf6B1e455...1bA4f44bb,,0x17E6033e...dcbE1aBD1,0 ETH,0.00209832
69,,0x50cc05f00684307253e725a6de4c847b3e018c9b2263ea55b9ed426c56874fb0,Transfer,19345687,36 secs ago,0x7fa94Cff...a02012a0e,,0x2B1f125D...6d7F05707,0.003027611 ETH,0.00093337
70,,0x43a4101abe87d9389c6a2ec12e3eb902e3103bf18b6aa32cba0a846b8fa27ab2,Execute,19345687,36 secs ago,0xd724E6bb...8A409Cc94,,Uniswap: Universal Router,0 ETH,0.00540577
71,,0x4090aed7bcbc42820a950e32c7239186afb501994a00c5d1e942a39db9e4a50c,Approve,19345687,36 secs ago,0x141CeaAC...62Ca700eE,,Kishu Inu: KISHU Token,0 ETH,0.00206965
72,,0x4ad091635a9a83ec584a8c742488f9dfa30f15e3919d1112e008a5ec6650600c,Approve,19345687,36 secs ago,0x46Ffa614...5a82D069E,,TG Casino: TGC Token,0 ETH,0.00206832
73,,0x2dd3cbfc29cd533787add8260b4a94def99d931c25cda7a54defe4222eff48f0,Multicall,19345687,36 secs ago,0x6cFf7C0d...233831B00,,Uniswap V3: Router,0 ETH,0.00580041
74,,0xda64d3badf51497804c2b466b0ba86574415106f1b9603f9bf52ad2fe8026d54,Transfer,19345687,36 secs ago,0x77300C71...07dEB77C7,,0x5Fd12A4C...Ac4c5c3B5,0.34695892 ETH,0.00093337
75,,0xc88826ecb027d1936b0c0679b3ed943ea0ae0f2c437408fbdc5afdd6ff7310c8,Operate,19345687,36 secs ago,0x768d5dA3...9E3CB2938,,0xeAbBfca7...B69F0811C,0.28 ETH,0.00731373
76,,0xd099636f813a467fc4f0bb9b38813c5dd261a21ab8e9b9909bf736cf9810c6c8,Transfer,19345687,36 secs ago,0xcBA031ee...6214CDb7B,,Tether: USDT Stablecoin,0 ETH,0.00280942
77,,0x5fa2c08dc301899a4bb115d64a39871048b60956dbdd0d08ccb0341b3dff47eb,Transfer,19345687,36 secs ago,0x80FB2d01...D01900b29,,Shiba Inu: SHIB Token,0 ETH,0.00133317
78,,0x0bf46ca978104b5a6a039ecdbebe5ddb7358caf1050d02e53b02c9db9cdb0268,Transition,19345687,36 secs ago,0xe0BBf9b2...592092623,,Blast: Deposit,0 ETH,0.0101444
79,,0x38013c8659021c5ee0c4daeef8430fbe07bc815812ad39ae4b649ab640154aa9,Transfer*,19345687,36 secs ago,Base: Batch Sender,,Null: 0xff00...453,0 ETH,0.03392704
80,,0xb6d01fd9144331275b47ea83eee9fd4c02f45f74d73e61338c35d8017d127543,Transfer*,19345687,36 secs ago,0x415c8893...226b84AA7,,0xFf000000...000081457,0 ETH,0.07746489
81,,0x71b5ee68fde6ef65a6d278c5406809e1b46b0f94c8e7549dc1b1007a9a62298e,Handle Ops,19345687,36 secs ago,Stackup: ERC-4337 Bundler 2,,ERC-4337 Entry Point 0.6.0,0 ETH,0.00530058
82,,0x6011b6370d369fbd6ef39bf9e890e2ce7cdcdab58f01f1d8a5ad55d236066fb5,Transfer*,19345687,36 secs ago,0x33302dbF...3DB023333,,0x40eAd78D...08A2D544f,0.4 ETH,0.00120575
83,,0x5e0eed59b9667e58c183d921df74613a24b7c7b6d541b0fa8d9ee1debf4514f8,Transfer,19345687,36 secs ago,0x425F4737...BFeFfC421,,0xd94807Bb...98F8b26B2,0.002211811 ETH,0.00093338
84,,0x229e4db29349c276febd8e62ee344fe7fad38ebf9f58ecd46e60a261fb4b2756,Approve,19345687,36 secs ago,0x2f9280F5...A11469AC0,,Tether: USDT Stablecoin,0 ETH,0.0021735
85,,0xcfcb3786dc1cae136e52bc690b4c3af5ef995b60b0c4a0361ce723e2b45923fc,Approve,19345687,36 secs ago,0x01028F2B...8740a63B8,,Wrapped Ether,0 ETH,0.0020609
86,,0xf2841b26e4c0a09913163ab580b61923e04f2b73c7fc12ffee790cbc7677d8a6,Swap,19345687,36 secs ago,0x45739460...8dC2E95Db,,0x11111112...0f8842A65,0.352890563 ETH,0.00399015
87,,0x0bed6644f153a5f60438df6c9f092fc10f4c89660410da8679e7a56ce626c4ea,Approve,19345687,36 secs ago,0xc701B004...37a431636,,Tether: USDT Stablecoin,0 ETH,0.00217354
88,,0xf4dffe4328ed9a3df1c4004835fbd33f350601e5cf3a2e75d57849341eb2c414,Transfer,19345687,36 secs ago,0x7CFBDd1C...299c0d20B,,OraiChain: ORAI Token,0 ETH,0.00230223
89,,0x874106b993183c861c8732f69e2faf95889cf62a5cd111f667186e09c4215fc6,Transfer,19345687,36 secs ago,0xCeC2b31f...DF8535337,,0x3c87AAff...0E2F2d406,0 ETH,0.00278004
90,,0x374a86ed1e0b6e359b4ced3dc47ec43160dca8edc8cad460405cfdd11d5e58b1,Transfer,19345687,36 secs ago,0x6502a773...9cd43F2E7,,0x94f99B11...13530C9c2,0.122057161 ETH,0.00093348
91,,0x79fe37a5829ccd91c7fc5b37cb43dee243c683d8c0626e30168a06b7c7bc29ec,Transfer,19345687,36 secs ago,0x4d246C44...936BA4505,,Ocean Protocol: OCEAN Token,0 ETH,0.00452116
92,,0xe6322d9c66b324e4f51c27b0f2cf32ef6fb8d44504c0d6cc8b2d440e8ea0f1cf,Direct Uni V3Swa...,19345687,36 secs ago,0x72fB5095...5c4413838,,Paraswap v5: Augustus Swapper Mainnet,0.3 ETH,0.00896503
93,,0xcd35108234d2073e45d5a342c4065c46dd1ed7e874a4d2eaf856453494f7b0e2,0x46e44847,19345687,36 secs ago,0xbc8475B0...F9318Ee46,,0xB5178505...3fAd510c4,0 ETH,0.0079494
94,,0x55883aaed3861e764cca5e0911424e0044f517d8f1e7fb66c0c32020e1386ab5,Transfer,19345687,36 secs ago,0xB5901D90...Bba8839AF,,Memecoin: MEME Token,0 ETH,0.00131461
95,,0x066d844090998e6d1b109ef3678ae2a1d1255b01bc8ab4315ebd3b6a20f81e62,Claim,19345687,36 secs ago,0x4704Fe03...83dD7ebA4,,Redacted Cartel: Rewards Distributor,0 ETH,0.00728325
96,,0x9eb5dc8362c930ea66cb4fdc5f765113acd2f723fe68e698c3b84633c673e5c3,Transfer,19345687,36 secs ago,0x001F1e67...01F03b35A,,0xf392559D...13d665066,0.0238483 ETH,0.00093348
97,,0x9bec13bbc89bdddcb3ba9a41868db79a28b80b8c9ee15a1358e89ffa74e29318,Execute,19345687,36 secs ago,0x497993a9...3Bf829dd5,,Uniswap: Universal Router,0.2 ETH,0.00687336
98,,0xead81c6911d02bdea26b8c4d65b39b393dc0dbb8af81398881ee4a1fbab6938e,Execute,19345687,36 secs ago,0x52513dF3...FA8c305cd,,Uniswap: Universal Router,0 ETH,0.01275106
99,,0xdcd7548a0f3eff0490eef499cd1b88294cf6701f75782310e748410c5c7b116e,Claim,19345687,36 secs ago,0x22E50d58...B8bef735f,,0xe18a6A48...AF10838B2,0 ETH,0.00555608
100,,0xabd61e707129dcb86264d46e7a173e0aca77c90bf501757c5970d76b335ebf12,Approve,19345687,46 secs ago,0x36a66bA2...0167Ec572,,Shido: SHIDO Token,0 ETH,0.00205801
101,,0xeec507a6032985b80c9a1212a5c04ac75202fa7297c48455691ceac13e96dd67,Approve,19345687,46 secs ago,0x04d2AAeD...7E7f4c744,,0x40a7dF3d...0120211D7,0 ETH,0.00206001
102,,0xd522c06b57ea5f35ab78c66319b5c557675b781117f290fa244392a68b7995e7,Transfer,19345687,46 secs ago,0x890eA32c...99A7B0841,,0x0A6134F2...69C4123f6,0.113534455 ETH,0.00093348
103,,0xe80e127124716b7e010dec86a4afbf625c9cf206cba325f8456bb7b0b0c3a105,Approve,19345687,46 secs ago,0x1c829a7C...0aDd3c505,,0xbe8EFF45...A6935BC64,0 ETH,0.0020593
104,,0x41eb575afa324d72adc1ae495972002372fe1d71470c6c2fc27ff6c77b61e66f,Set Approval For...,19345687,46 secs ago,0xb50fE6bd...eCfA52d1E,,0x89c27789...C83b2D7BF,0 ETH,0.00118961
105,,0x5820351ce1471fbd7fc38e757218631220f55d83f4cb30e549c56a692ba47115,Approve,19345687,46 secs ago,0xD9c3fA60...4150f449A,,GhostDAG: GDAG Token,0 ETH,0.00206997
106,,0x232be29dd3b2a26e09caaab427f98de5104484cef00ff92c37edf257d09f3bfe,Transfer,19345687,46 secs ago,0x82b27a17...1fAE38f76,,0xF9DbB1b8...3578A2c57,0.016431658 ETH,0.00093348
107,,0x862b32bfccf9a2f6e5348975dcf445412efa1e5c5ffa4f9facc3ac4afb0ddd06,Claim,19345687,46 secs ago,0xC5447B2C...6D1770C99,,Memecoin: Presale Claim,0 ETH,0.00412852
108,,0x38ef911902e93860e3d260b68ecfe29ad67f1519991f2721578a500feeeba3ba,Transfer,19345687,46 secs ago,0x3334B002...53f83F1D6,,0x0A6134F2...69C4123f6,0.114905486 ETH,0.00093348
109,,0x6677c56ac087cfdd347003a9a701ef03269436be7c8a1c150ebc2677cc6b77b0,Transfer,19345687,46 secs ago,0x97B43255...6A8A17fe2,,0x76D6A11f...70e57DEC4,0.066 ETH,0.00093348
110,,0x5eaa5b871232626010af590aacbe0fa56895bb814dbb0da2d4cbf88005d66d0a,Transfer,19345687,46 secs ago,0x390f5712...B7bA6d2cF,,0xe6f3A5B7...456B0CDFD,0.00141875 ETH,0.00093348
111,,0xb71202922187ff252c1ab0386104140f89314986b0c68fff53b7a04e3fc3c1cf,Claim Rewards,19345687,46 secs ago,0x32f74413...b76f0Ef20,,0x180DDacb...4557ED724,0 ETH,0.00359355
112,,0x0db56e8966f9390e2b0fb13f5066118efced18b0d7555ad61e70c1490324af26,Execute,19345687,46 secs ago,0x803792e2...395e6002f,,Uniswap: Universal Router,0.1 ETH,0.00111942
113,,0xc44f0ba692d8681cb2debe9e8322c72cf24858e5ca9d8a02558c8e3614ef5709,Set Approval For...,19345687,46 secs ago,0xBd5AB9fa...9bDE4cC1B,,0x5988A46C...629fc2e78,0 ETH,0.0020517
114,,0x107ee93b08f39fa5e4c783371bd0ce458b6e5927b03bb635cf1e7da66f7ce639,Deposit Eth,19345687,46 secs ago,0xBcE4fa1f...a02216CB4,,Arbitrum: Delayed Inbox,0.029 ETH,0.00405669
115,,0x6c49ab6737b9ee0768c9b21afec199025d196e2e945a8f5b844b38ea962eb470,Execute,19345687,46 secs ago,0xA80A60ba...D1F2B9D4B,,Uniswap: Universal Router,0.07 ETH,0.00575909
116,,0x0807061ee21342fd9c9991182f11b967130069ef056ba0a2a4d312861ac30f03,Withdraw,19345687,46 secs ago,0x6b90b9Ce...4E444C6CB,,Blur: Bidding,0 ETH,0.00158234
117,,0x24304be87624dc0f7bfe1b6eaf2e04f0a39a8e014f78cd3197d800cbfc6c2f9e,Set Approval For...,19345687,46 secs ago,0x6b90b9Ce...4E444C6CB,,Moonbirds: MOONBIRD Token,0 ETH,0.00232263
118,,0xe52f7449a053b434c37b010e680a82a3e2f1c7b5d316a29bb8301cd3183d5d7f,0x00000000,19345687,46 secs ago,0x770fDE7a...6Ec5f1Fe0,,Seaport 1.5,1.3 ETH,0.00644303
119,,0x005cd63ec8f11a43774a57a9367229b66d854f7aeeab4f4c58e15ecfd6daa221,Transfer,19345687,46 secs ago,0x5154fD2A...e49930DF2,,0x0A6134F2...69C4123f6,0.111308834 ETH,0.00093348
120,,0x4e559655f4f6d07f807660b2e3df89f7721cfcee7bac3fe763a4d4d61270f424,Request L2Transa...,19345687,46 secs ago,0xb98aa679...c252FA4C8,,zkSync Era: Diamond Proxy,3.251414151 ETH,0.00472733
121,,0xf985fe395c34bb19046e0dda3c90da9672d71524122f29415561d39286b4564c,Withdraw,19345687,46 secs ago,0x1342BbC6...14d4F22E7,,Blur: Bidding,0 ETH,0.00179473
122,,0x74bfefe32586e165a234c690b044ba44b56c084776e96b90f0634d43a66c178b,Transfer,19345687,46 secs ago,0xAf6E5f5f...EbF843375,SELF,0xAf6E5f5f...EbF843375,0 ETH,0.00093348
123,,0xcd8abe38363b56b1193bbe710281abbc6f3cf05922b1d3a353623446cc00cec4,Approve,19345687,46 secs ago,0x9DC4C5Bb...668AAc76F,,0xf2dFDBE1...487BE3ebe,0 ETH,0.00208642
124,,0xa3f4098cc04024767b2af87a6682b4690b56e5be44104c6f8d9fd2df97e3b5d7,Approve,19345687,46 secs ago,0xF01232B5...4625Fa099,,Renzo Protocol: Renzo Restaked ETH Token,0 ETH,0.0023806
125,,0x5652801eed8b651b9d024c6eff74532bb4640f317c14557e1463768a59b8ae2c,Exchange,19345687,46 secs ago,0x08103E24...8e32a0b02,,0x02950460...DF3fA4d72,0 ETH,0.00758076
126,,0xf3a887e886b2ddf082be2402c90ebb943e1168a39c9a806b4b35cc28770fa4e9,Claim Tranche,19345687,46 secs ago,0x0E9489d8...0bA406BD0,,0xB9310daE...071a8E347,0 ETH,0.00363378
